frame_index,stamp_sec,stamp_nsec,global_x,global_y
0,1119,13000000,-0.340849,-8.136512
1,1119,113000000,-0.231118,-8.144221
2,1119,213000000,-0.152826,-8.150046
3,1119,313000000,-0.053039,-8.156071
4,1119,413000000,0.046792,-8.161359
5,1119,513000000,0.142275,-8.170218
6,1119,613000000,0.242172,-8.174140
7,1119,713000000,0.352111,-8.177740
8,1119,813000000,0.439401,-8.179814
9,1119,913000000,0.539358,-8.181866
10,1120,13000000,0.639330,-8.183081
11,1120,113000000,0.739310,-8.183714
12,1120,213000000,0.836981,-8.184617
13,1120,313000000,0.936961,-8.183873
14,1120,413000000,1.036936,-8.182346
15,1120,513000000,1.131474,-8.177891
16,1120,613000000,1.231431,-8.175382
17,1120,713000000,1.318744,-8.183807
18,1120,813000000,1.418682,-8.180504
19,1120,913000000,1.518565,-8.175751
20,1121,13000000,1.609712,-8.140728
21,1121,113000000,1.709355,-8.132258
22,1121,213000000,1.809072,-8.124788
23,1121,313000000,1.909711,-8.121578
24,1121,413000000,2.009498,-8.115163
25,1121,513000000,2.109204,-8.107595
26,1121,613000000,2.208718,-8.097757
27,1121,713000000,2.308498,-8.083637
28,1121,813000000,2.407584,-8.070052
29,1121,913000000,2.486711,-8.057159
30,1122,13000000,2.585171,-8.039509
31,1122,113000000,2.683294,-8.020052
32,1122,213000000,2.771307,-8.006205
33,1122,313000000,2.868241,-7.981386
34,1122,413000000,2.963946,-7.952064
35,1122,513000000,3.070686,-7.906992
36,1122,613000000,3.162778,-7.867609
37,1122,713000000,3.235868,-7.826951
38,1122,813000000,3.309392,-7.789761
39,1122,913000000,3.391551,-7.736406
40,1123,13000000,3.472442,-7.679064
41,1123,113000000,3.521164,-7.631091
42,1123,213000000,3.594438,-7.568807
43,1123,313000000,3.645253,-7.517836
44,1123,413000000,3.712251,-7.445192
45,1123,513000000,3.776255,-7.370861
46,1123,613000000,3.838730,-7.293114
47,1123,713000000,3.897935,-7.211592
48,1123,813000000,3.955409,-7.111473
49,1123,913000000,4.008419,-7.024864
50,1124,13000000,4.059395,-6.936998
51,1124,113000000,4.106918,-6.847261
52,1124,213000000,4.158771,-6.763625
53,1124,313000000,4.200513,-6.671328
54,1124,413000000,4.225519,-6.600702
55,1124,513000000,4.256591,-6.508967
56,1124,613000000,4.265325,-6.404845
57,1124,713000000,4.290785,-6.308543
58,1124,813000000,4.315226,-6.211346
59,1124,913000000,4.340610,-6.104227
60,1125,13000000,4.362094,-6.005816
61,1125,113000000,4.381624,-5.906944
62,1125,213000000,4.396932,-5.801896
63,1125,313000000,4.411617,-5.702237
64,1125,413000000,4.423245,-5.602233
65,1125,513000000,4.427625,-5.502357
66,1125,613000000,4.434767,-5.402087
67,1125,713000000,4.440294,-5.301800
68,1125,813000000,4.444326,-5.195956
69,1125,913000000,4.445753,-5.095655
70,1126,13000000,4.443462,-4.995401
71,1126,113000000,4.423064,-4.882848
72,1126,213000000,4.410464,-4.783485
73,1126,313000000,4.394384,-4.706609
74,1126,413000000,4.368705,-4.645148
75,1126,513000000,4.338355,-4.558192
76,1126,613000000,4.307586,-4.494472
77,1126,713000000,4.262516,-4.398362
78,1126,813000000,4.219397,-4.331312
79,1126,913000000,4.176928,-4.277200
80,1127,13000000,4.141773,-4.221652
81,1127,113000000,4.081170,-4.150616
82,1127,213000000,4.030052,-4.100926
83,1127,313000000,3.939466,-4.038080
84,1127,413000000,3.881323,-3.993831
85,1127,513000000,3.803825,-3.935475
86,1127,613000000,3.720837,-3.879677
87,1127,713000000,3.639873,-3.822722
88,1127,813000000,3.550146,-3.773053
89,1127,913000000,3.458349,-3.726523
90,1128,13000000,3.364329,-3.684484
91,1128,113000000,3.264011,-3.627290
92,1128,213000000,3.167633,-3.592110
93,1128,313000000,3.069595,-3.562680
94,1128,413000000,2.971073,-3.536092
95,1128,513000000,2.872473,-3.508589
96,1128,613000000,2.773347,-3.487050
97,1128,713000000,2.674218,-3.466839
98,1128,813000000,2.568205,-3.465194
99,1128,913000000,2.469013,-3.447635
100,1129,13000000,2.369986,-3.430113
101,1129,113000000,2.271121,-3.412480
102,1129,213000000,2.177006,-3.382729
103,1129,313000000,2.078392,-3.364836
104,1129,413000000,1.969943,-3.357708
105,1129,513000000,1.872787,-3.333607
106,1129,613000000,1.802623,-3.309346
107,1129,713000000,1.742077,-3.280821
108,1129,813000000,1.682607,-3.248512
109,1129,913000000,1.602282,-3.203367
110,1130,13000000,1.597818,-3.204672
111,1130,113000000,1.508914,-3.148897
112,1130,213000000,1.428209,-3.091851
113,1130,313000000,1.371899,-3.043923
114,1130,413000000,1.323388,-2.990407
115,1130,513000000,1.276975,-2.939715
116,1130,613000000,1.213778,-2.870083
117,1130,713000000,1.151311,-2.807057
118,1130,813000000,1.089067,-2.728536
119,1130,913000000,1.029752,-2.646082
120,1131,13000000,0.978864,-2.564388
121,1131,113000000,0.926890,-2.475982
122,1131,213000000,0.877284,-2.386246
123,1131,313000000,0.830083,-2.295390
124,1131,413000000,0.793559,-2.210573
125,1131,513000000,0.750546,-2.119011
126,1131,613000000,0.709195,-2.026624
127,1131,713000000,0.669833,-1.933477
128,1131,813000000,0.644800,-1.832606
129,1131,913000000,0.608925,-1.738406
130,1132,13000000,0.574585,-1.643801
131,1132,113000000,0.530431,-1.551782
132,1132,213000000,0.500092,-1.456063
133,1132,313000000,0.471787,-1.359820
134,1132,413000000,0.446794,-1.262725
135,1132,513000000,0.449953,-1.143682
136,1132,613000000,0.426011,-1.036073
137,1132,713000000,0.415429,-0.933717
138,1132,813000000,0.393043,-0.836229
139,1132,913000000,0.372303,-0.738400
140,1133,13000000,0.367880,-0.640890
141,1133,113000000,0.348065,-0.542906
142,1133,213000000,0.330167,-0.444559
143,1133,313000000,0.313826,-0.345945
144,1133,413000000,0.314673,-0.253468
145,1133,513000000,0.304336,-0.154023
