frame_index,stamp_sec,stamp_nsec,global_x,global_y
0,955,219000000,-0.620509,-0.177974
1,955,319000000,-0.620509,-0.177974
2,955,419000000,-0.620510,-0.177974
3,955,519000000,-0.620510,-0.177974
4,955,619000000,-0.620510,-0.177974
5,955,719000000,-0.620508,-0.177974
6,955,819000000,-0.620507,-0.177974
7,955,919000000,-0.620508,-0.177974
8,956,20000000,-0.620508,-0.177974
9,956,119000000,-0.620508,-0.177974
10,956,219000000,-0.620508,-0.177974
11,956,319000000,-0.620508,-0.177974
12,956,420000000,-0.620508,-0.177974
13,956,519000000,-0.620508,-0.177974
14,956,619000000,-0.620507,-0.177974
15,956,719000000,-0.620507,-0.177974
16,956,820000000,-0.620506,-0.177974
17,956,919000000,-0.620506,-0.177974
18,957,19000000,-0.620506,-0.177974
19,957,119000000,-0.620507,-0.177974
20,957,220000000,-0.620507,-0.177974
21,957,319000000,-0.620507,-0.177974
22,957,419000000,-0.620507,-0.177974
23,957,520000000,-0.620507,-0.177974
24,957,620000000,-0.620505,-0.177974
25,957,719000000,-0.620504,-0.177974
26,957,819000000,-0.620505,-0.177974
27,957,919000000,-0.620505,-0.177974
28,958,20000000,-0.620505,-0.177974
29,958,119000000,-0.620505,-0.177974
30,958,219000000,-0.620505,-0.177974
31,958,320000000,-0.620505,-0.177974
32,958,420000000,-0.620505,-0.177974
33,958,519000000,-0.620506,-0.177974
34,958,620000000,-0.620504,-0.177974
35,958,720000000,-0.620503,-0.177974
36,958,820000000,-0.620504,-0.177974
37,958,919000000,-0.620504,-0.177974
38,959,19000000,-0.620504,-0.177974
39,959,120000000,-0.620504,-0.177974
40,959,220000000,-0.620504,-0.177974
41,959,319000000,-0.620504,-0.177974
42,959,419000000,-0.620504,-0.177974
43,959,520000000,-0.620503,-0.177974
44,959,620000000,-0.620502,-0.177974
45,959,719000000,-0.620502,-0.177974
46,959,819000000,-0.620502,-0.177974
47,959,920000000,-0.620502,-0.177974
48,960,19000000,-0.620502,-0.177974
49,960,119000000,-0.620502,-0.177974
50,960,219000000,-0.620502,-0.177974
51,960,320000000,-0.620503,-0.177974
52,960,420000000,-0.620502,-0.177974
53,960,519000000,-0.620501,-0.177974
54,960,619000000,-0.620501,-0.177974
55,960,720000000,-0.620501,-0.177974
56,960,820000000,-0.620501,-0.177974
57,960,919000000,-0.620501,-0.177974
58,961,19000000,-0.620501,-0.177974
59,961,120000000,-0.620501,-0.177974
60,961,220000000,-0.620501,-0.177974
61,961,320000000,-0.620501,-0.177974
62,961,420000000,-0.620500,-0.177974
63,961,520000000,-0.620499,-0.177974
64,961,619000000,-0.620499,-0.177974
65,961,719000000,-0.620499,-0.177974
66,961,819000000,-0.620499,-0.177974
67,961,920000000,-0.620499,-0.177974
68,962,20000000,-0.620500,-0.177974
69,962,119000000,-0.620500,-0.177974
70,962,219000000,-0.620500,-0.177974
71,962,320000000,-0.620499,-0.177974
72,962,419000000,-0.620498,-0.177974
73,962,519000000,-0.620498,-0.177974
74,962,619000000,-0.620498,-0.177974
75,962,720000000,-0.620498,-0.177974
76,962,819000000,-0.620498,-0.177974
77,962,919000000,-0.620498,-0.177974
78,963,19000000,-0.620498,-0.177974
79,963,120000000,-0.620498,-0.177974
80,963,219000000,-0.620498,-0.177974
81,963,320000000,-0.620496,-0.177974
82,963,419000000,-0.620496,-0.177974
83,963,520000000,-0.620496,-0.177974
84,963,620000000,-0.620496,-0.177974
85,963,719000000,-0.620496,-0.177974
86,963,820000000,-0.620497,-0.177974
87,963,920000000,-0.620497,-0.177974
88,964,19000000,-0.620497,-0.177974
89,964,119000000,-0.620497,-0.177974
90,964,219000000,-0.620495,-0.177974
91,964,320000000,-0.620494,-0.177974
92,964,419000000,-0.620495,-0.177974
93,964,519000000,-0.620495,-0.177974
94,964,619000000,-0.620495,-0.177974
95,964,720000000,-0.620495,-0.177974
96,964,820000000,-0.620495,-0.177974
97,964,920000000,-0.620495,-0.177974
98,965,20000000,-0.620495,-0.177974
99,965,120000000,-0.620495,-0.177974
100,965,219000000,-0.620493,-0.177974
101,965,319000000,-0.620493,-0.177974
102,965,420000000,-0.620493,-0.177974
103,965,520000000,-0.620494,-0.177974
104,965,619000000,-0.620494,-0.177974
105,965,719000000,-0.620494,-0.177974
106,965,820000000,-0.620494,-0.177974
107,965,920000000,-0.620494,-0.177974
108,966,19000000,-0.620494,-0.177974
109,966,119000000,-0.620493,-0.177974
110,966,219000000,-0.620492,-0.177974
