frame_index,stamp_sec,stamp_nsec,global_x,global_y,yaw
10,159,596000000,-4.259430,-6.630657,-0.975767
11,159,696000000,-4.219701,-6.690565,-0.923907
12,159,796000000,-4.164860,-6.768828,-0.862983
13,159,896000000,-4.128012,-6.817913,-0.819221
14,159,996000000,-4.062572,-6.887996,-0.795332
15,160,96000000,-3.989713,-6.946460,-0.764939
16,160,196000000,-3.918030,-7.016945,-0.725689
17,160,296000000,-3.843395,-7.085843,-0.684079
18,160,396000000,-3.765981,-7.152450,-0.628331
19,160,496000000,-3.707217,-7.202243,-0.590307
20,160,596000000,-3.625755,-7.256398,-0.574218
21,160,696000000,-3.534886,-7.316411,-0.550051
22,160,796000000,-3.458565,-7.366591,-0.503488
23,160,896000000,-3.361092,-7.414397,-0.459638
24,160,996000000,-3.279136,-7.455725,-0.434033
25,161,96000000,-3.186945,-7.498130,-0.417065
26,161,196000000,-3.094411,-7.539657,-0.398534
27,161,296000000,-2.993073,-7.573982,-0.374575
28,161,396000000,-2.899149,-7.611556,-0.355429
29,161,496000000,-2.804371,-7.646439,-0.343103
30,161,596000000,-2.700130,-7.684227,-0.327603
31,161,696000000,-2.606441,-7.709863,-0.318787
32,161,796000000,-2.511170,-7.742150,-0.300016
33,161,896000000,-2.415207,-7.771904,-0.285773
34,161,996000000,-2.303460,-7.796462,-0.267935
35,162,96000000,-2.206694,-7.823115,-0.256121
36,162,196000000,-2.109796,-7.848950,-0.242862
37,162,296000000,-2.008324,-7.884433,-0.243412
38,162,396000000,-1.911347,-7.909445,-0.225479
39,162,496000000,-1.813942,-7.932556,-0.204918
40,162,596000000,-1.707516,-7.941545,-0.179943
41,162,696000000,-1.609030,-7.959118,-0.170115
42,162,796000000,-1.510380,-7.975616,-0.166440
43,162,896000000,-1.407900,-7.984375,-0.165911
44,162,996000000,-1.309322,-8.001065,-0.158915
45,163,96000000,-1.210581,-8.016704,-0.155051
46,163,196000000,-1.103997,-8.031969,-0.140029
47,163,296000000,-1.005093,-8.046533,-0.126537
48,163,396000000,-0.905901,-8.058922,-0.121561
49,163,496000000,-0.814234,-8.076990,-0.118423
50,163,596000000,-0.714986,-8.088934,-0.110829
51,163,696000000,-0.615707,-8.100679,-0.097007
52,163,796000000,-0.510631,-8.108858,-0.086722
53,163,896000000,-0.411051,-8.117663,-0.078688
54,163,996000000,-0.311372,-8.125250,-0.075492
55,164,96000000,-0.217355,-8.125179,-0.066317
56,164,196000000,-0.117589,-8.131547,-0.064064
57,164,296000000,-0.017828,-8.138004,-0.060107
58,164,396000000,0.082960,-8.132490,-0.051724
59,164,496000000,0.182792,-8.137761,-0.047705
60,164,596000000,0.282670,-8.142118,-0.049406
61,164,696000000,0.377329,-8.135053,-0.034585
62,164,796000000,0.477253,-8.138227,-0.034874
63,164,896000000,0.577168,-8.141683,-0.034199
64,164,996000000,0.670767,-8.142803,-0.032356
65,165,96000000,0.770674,-8.146751,-0.022650
66,165,196000000,0.870626,-8.149150,-0.017470
67,165,296000000,0.955622,-8.145433,-0.005926
68,165,396000000,1.055605,-8.146285,0.002958
69,165,496000000,1.155590,-8.145649,0.003602
70,165,596000000,1.244484,-8.162418,-0.006330
71,165,696000000,1.344470,-8.163710,0.003605
72,165,796000000,1.454501,-8.164963,0.027653
73,165,896000000,1.541340,-8.162431,0.052185
74,165,996000000,1.641241,-8.157598,0.067328
75,166,96000000,1.750998,-8.149980,0.076584
76,166,196000000,1.847117,-8.153396,0.075861
77,166,296000000,1.946859,-8.146057,0.085724
78,166,396000000,2.046603,-8.138523,0.104071
79,166,496000000,2.143312,-8.132758,0.123951
80,166,596000000,2.242677,-8.121167,0.143273
81,166,696000000,2.341742,-8.107238,0.161943
82,166,796000000,2.441353,-8.097833,0.181966
83,166,896000000,2.540148,-8.081624,0.217723
84,166,996000000,2.638255,-8.061530,0.260777
85,167,96000000,2.731424,-8.026304,0.305539
86,167,196000000,2.826997,-7.996389,0.336485
87,167,296000000,2.921624,-7.963611,0.358387
88,167,396000000,3.022964,-7.940207,0.412047
89,167,496000000,3.091010,-7.911637,0.467461
90,167,596000000,3.178357,-7.871185,0.530488
91,167,696000000,3.233436,-7.837323,0.577444
92,167,796000000,3.312829,-7.785263,0.602416
93,167,896000000,3.393175,-7.729963,0.620892
94,167,996000000,3.483288,-7.664562,0.670718
95,168,96000000,3.563303,-7.604077,0.720899
96,168,196000000,3.620788,-7.556605,0.782634
97,168,296000000,3.668093,-7.512494,0.844328
98,168,396000000,3.734109,-7.437897,0.882185
99,168,496000000,3.797136,-7.361076,0.908482
100,168,596000000,3.859153,-7.282288,0.945551
101,168,696000000,3.909117,-7.194403,0.986279
102,168,796000000,3.967204,-7.111415,1.045721
103,168,896000000,4.003771,-7.049711,1.093805
104,168,996000000,4.047559,-6.963045,1.109951
105,169,97000000,4.103795,-6.876493,1.109946
106,169,197000000,4.150518,-6.787265,1.149488
107,169,297000000,4.185340,-6.714637,1.194954
108,169,397000000,4.222827,-6.627752,1.246724
109,169,497000000,4.276548,-6.530613,1.285966
110,169,597000000,4.305026,-6.435836,1.315897
111,169,697000000,4.330521,-6.339122,1.345271
112,169,797000000,4.353629,-6.241204,1.372846
113,169,897000000,4.360147,-6.147797,1.397531
114,169,997000000,4.377693,-6.048368,1.416324
115,170,97000000,4.392965,-5.948581,1.431984
116,170,197000000,4.387556,-5.850700,1.451211
117,170,297000000,4.399466,-5.750618,1.466344
118,170,397000000,4.410102,-5.650499,1.477690
119,170,497000000,4.419552,-5.550366,1.490991
120,170,597000000,4.428735,-5.449399,1.510308
121,170,697000000,4.435701,-5.349220,1.535491
122,170,797000000,4.440647,-5.248972,1.562601
123,170,897000000,4.441277,-5.147294,1.597596
124,170,997000000,4.439934,-5.047023,1.626935
125,171,97000000,4.429483,-4.945202,1.691589
126,171,197000000,4.422607,-4.871051,1.757274
127,171,297000000,4.407447,-4.776134,1.810926
128,171,397000000,4.379090,-4.699849,1.879279
129,171,497000000,4.360401,-4.633323,1.949588
130,171,597000000,4.337276,-4.570017,2.008811
131,171,697000000,4.308176,-4.492501,2.072228
132,171,797000000,4.275104,-4.426459,2.138145
133,171,897000000,4.241626,-4.368959,2.205293
134,171,997000000,4.206052,-4.319730,2.259164
135,172,97000000,4.165072,-4.266192,2.320377
136,172,197000000,4.102106,-4.196083,2.359711
137,172,297000000,4.026242,-4.121231,2.403132
138,172,397000000,3.952612,-4.051173,2.457596
139,172,497000000,3.874168,-3.984176,2.507072
140,172,597000000,3.792961,-3.918968,2.584762
141,172,697000000,3.730411,-3.868067,2.630106
142,172,797000000,3.643734,-3.818939,2.656826
143,172,897000000,3.554709,-3.770837,2.684132
144,172,997000000,3.463681,-3.724846,2.719365
145,173,97000000,3.365162,-3.673615,2.753284
146,173,197000000,3.271312,-3.632316,2.805801
147,173,297000000,3.165750,-3.594124,2.854900
148,173,397000000,3.067799,-3.564869,2.882148
149,173,497000000,2.969108,-3.539393,2.896358
150,173,597000000,2.853721,-3.518242,2.917632
151,173,697000000,2.754727,-3.496506,2.922641
152,173,797000000,2.656117,-3.474187,2.935823
153,173,897000000,2.556910,-3.461970,2.951595
154,173,997000000,2.457999,-3.442708,2.961845
155,174,97000000,2.358976,-3.425000,2.966760
156,174,197000000,2.259449,-3.405281,2.959992
157,174,297000000,2.160258,-3.389897,2.931897
158,174,397000000,2.061846,-3.370778,2.900311
159,174,497000000,1.959395,-3.355927,2.851895
160,174,597000000,1.887268,-3.337660,2.790419
161,174,697000000,1.820640,-3.315887,2.728250
162,174,797000000,1.759817,-3.290520,2.656278
163,174,897000000,1.693138,-3.257676,2.587471
164,174,997000000,1.614753,-3.209174,2.561505
165,175,97000000,1.537124,-3.161031,2.513191
166,175,197000000,1.456222,-3.103652,2.467298
167,175,297000000,1.375785,-3.042716,2.408145
168,175,397000000,1.304356,-3.012735,2.345850
169,175,497000000,1.253378,-2.962346,2.290800
170,175,597000000,1.207748,-2.910154,2.256389
171,175,697000000,1.145615,-2.838865,2.206891
172,175,797000000,1.086427,-2.760563,2.167666
173,175,897000000,1.027393,-2.669034,2.124184
174,175,997000000,0.974137,-2.582547,2.100015
175,176,97000000,0.921555,-2.494877,2.067899
176,176,197000000,0.872843,-2.404745,2.047501
177,176,297000000,0.824691,-2.337078,2.024206
178,176,397000000,0.779438,-2.245340,1.997035
179,176,497000000,0.736316,-2.152811,1.968033
180,176,597000000,0.697227,-2.058818,1.952332
181,176,697000000,0.700320,-2.067814,1.956714
182,176,797000000,0.622134,-1.869835,1.916903
183,176,897000000,0.587116,-1.774996,1.894105
184,176,997000000,0.588998,-1.774643,1.898753
185,177,97000000,0.556782,-1.679046,1.887190
186,177,197000000,0.495732,-1.487273,1.848862
187,177,297000000,0.486662,-1.390751,1.817737
188,177,397000000,0.486662,-1.390751,1.817737
189,177,497000000,0.463258,-1.293178,1.815666
190,177,597000000,0.415663,-1.098500,1.793292
191,177,697000000,0.439388,-1.095210,1.785723
192,177,797000000,0.418029,-0.997400,1.776439
193,177,897000000,0.398001,-0.899358,1.773039
194,177,997000000,0.380029,-0.800552,1.774437
195,178,97000000,0.358306,-0.702908,1.752413
196,178,197000000,0.339799,-0.604646,1.736274
197,178,297000000,0.323562,-0.502995,1.734056
198,178,397000000,0.305395,-0.404639,1.704007
199,178,497000000,0.290999,-0.305671,1.673044
