frame_index,stamp_sec,stamp_nsec,scan_index,distance,local_x,local_y,global_x,global_y,isOpponent
7,955,219000000,0,7.053038,-7.053029,-0.011232,-1.137743,-5.356116,False
7,955,219000000,1,7.005608,-7.004332,-0.133698,-1.005951,-5.355619,False
7,955,219000000,2,6.960927,-6.956271,-0.254564,-0.875881,-5.355128,False
7,955,219000000,3,6.918918,-6.908806,-0.373935,-0.747420,-5.354644,False
7,955,219000000,4,6.879504,-6.861895,-0.491909,-0.620462,-5.354164,False
7,955,219000000,5,6.842619,-6.815502,-0.608583,-0.494904,-5.353691,False
7,955,219000000,6,6.808199,-6.769589,-0.724047,-0.370648,-5.353222,False
7,955,219000000,7,6.776187,-6.724122,-0.838390,-0.247598,-5.352758,False
7,955,219000000,8,6.746530,-6.679067,-0.951698,-0.125662,-5.352298,False
7,955,219000000,9,6.719178,-6.634391,-1.064052,-0.004752,-5.351842,False
7,955,219000000,10,6.694087,-6.590063,-1.175532,0.115218,-5.351389,False
7,955,219000000,11,6.671216,-6.546050,-1.286217,0.234331,-5.350940,False
7,955,219000000,12,6.650530,-6.502324,-1.396182,0.352670,-5.350494,False
7,955,219000000,13,6.631995,-6.458856,-1.505501,0.470313,-5.350050,False
7,955,219000000,14,6.615581,-6.415615,-1.614244,0.587337,-5.349608,False
7,955,219000000,15,6.601263,-6.372576,-1.722484,0.703820,-5.349169,False
7,955,219000000,16,6.589019,-6.329708,-1.830290,0.819834,-5.348731,False
7,955,219000000,17,6.578830,-6.286987,-1.937729,0.935455,-5.348296,False
7,955,219000000,18,6.570679,-6.244384,-2.044869,1.050753,-5.347860,False
7,955,219000000,19,6.564555,-6.201874,-2.151776,1.165801,-5.347426,False
7,955,219000000,20,6.560448,-6.159430,-2.258517,1.280671,-5.346993,False
7,955,219000000,21,6.558352,-6.117026,-2.365157,1.395431,-5.346560,False
7,955,219000000,22,6.558263,-6.074637,-2.471762,1.510154,-5.346127,False
7,955,219000000,23,6.560182,-6.032235,-2.578396,1.624908,-5.345694,False
7,955,219000000,24,6.564111,-5.989796,-2.685126,1.739765,-5.345261,False
7,955,219000000,25,6.570057,-5.947293,-2.792016,1.854795,-5.344828,False
7,955,219000000,26,6.612581,-5.935716,-2.914361,1.972889,-5.378831,False
7,955,219000000,27,6.654743,-5.921345,-3.036985,2.092265,-5.410335,False
7,955,219000000,28,6.699509,-5.906785,-3.161221,2.213210,-5.442254,False
7,955,219000000,29,6.746960,-5.892022,-3.287178,2.335831,-5.474614,False
7,955,219000000,30,6.787464,-5.868643,-3.410089,2.458771,-5.497841,False
7,955,219000000,31,10.696240,-9.152870,-5.534846,3.234127,-9.331842,False
7,955,219000000,32,10.729213,-9.082566,-5.711655,3.424400,-9.331125,False
7,955,219000000,33,10.765693,-9.011804,-5.889612,3.615908,-9.330403,False
7,955,219000000,34,10.805739,-8.940537,-6.068838,3.808782,-9.329675,False
7,955,219000000,35,10.849418,-8.868717,-6.249458,4.003156,-9.328942,False
7,955,219000000,36,10.896798,-8.796290,-6.431600,4.199168,-9.328202,False
7,955,219000000,37,1.546339,-1.232105,-0.934389,1.851748,-0.276912,False
7,955,219000000,38,1.492987,-1.173632,-0.922821,1.862383,-0.218262,False
7,955,219000000,39,1.500991,-1.163515,-0.948265,1.889765,-0.218159,False
7,955,219000000,40,1.509545,-1.153285,-0.973992,1.917451,-0.218055,False
7,955,219000000,41,1.518664,-1.142934,-1.000021,1.945463,-0.217949,False
7,955,219000000,42,1.528366,-1.132455,-1.026375,1.973824,-0.217842,False
7,955,219000000,43,1.538665,-1.121838,-1.053077,2.002558,-0.217733,False
7,955,219000000,44,1.549582,-1.111073,-1.080149,2.031692,-0.217624,False
7,955,219000000,45,1.561136,-1.100151,-1.107616,2.061250,-0.217512,False
7,955,219000000,46,1.573349,-1.089062,-1.135504,2.091263,-0.217399,False
7,955,219000000,47,1.586243,-1.077794,-1.163841,2.121757,-0.217284,False
7,955,219000000,48,1.599844,-1.066336,-1.192655,2.152766,-0.217167,False
7,955,219000000,49,1.614178,-1.054677,-1.221977,2.184320,-0.217048,False
7,955,219000000,50,1.629275,-1.042803,-1.251838,2.216455,-0.216927,False
7,955,219000000,51,1.645165,-1.030702,-1.282272,2.249207,-0.216803,False
7,955,219000000,52,1.661882,-1.018358,-1.313316,2.282614,-0.216677,False
7,955,219000000,53,1.679461,-1.005757,-1.345006,2.316718,-0.216548,False
7,955,219000000,54,1.697941,-0.992882,-1.377385,2.351562,-0.216417,False
7,955,219000000,55,1.717363,-0.979717,-1.410493,2.387192,-0.216283,False
7,955,219000000,56,1.737773,-0.966243,-1.444379,2.423658,-0.216145,False
7,955,219000000,57,1.759219,-0.952440,-1.479090,2.461012,-0.216004,False
7,955,219000000,58,1.781752,-0.938288,-1.514680,2.499313,-0.215860,False
7,955,219000000,59,1.805430,-0.923765,-1.551205,2.538619,-0.215711,False
7,955,219000000,60,1.830314,-0.908845,-1.588725,2.578996,-0.215559,False
7,955,219000000,61,1.856469,-0.893504,-1.627306,2.620515,-0.215402,False
7,955,219000000,62,1.883967,-0.877714,-1.667018,2.663251,-0.215241,False
7,955,219000000,63,1.912886,-0.861443,-1.707937,2.707285,-0.215075,False
7,955,219000000,64,1.943310,-0.844660,-1.750144,2.752707,-0.214904,False
7,955,219000000,65,1.975333,-0.827329,-1.793730,2.799611,-0.214727,False
7,955,219000000,66,2.009053,-0.809411,-1.838790,2.848103,-0.214544,False
7,955,219000000,67,2.044581,-0.790866,-1.885430,2.898294,-0.214355,False
7,955,219000000,68,2.082037,-0.771646,-1.933763,2.950308,-0.214158,False
7,955,219000000,69,2.121552,-0.751704,-1.983917,3.004281,-0.213955,False
7,955,219000000,70,2.163271,-0.730983,-2.036027,3.060360,-0.213743,False
7,955,219000000,71,2.207353,-0.709424,-2.090245,3.118706,-0.213523,False
7,955,219000000,72,2.253973,-0.686961,-2.146736,3.179499,-0.213294,False
7,955,219000000,73,2.303324,-0.663522,-2.205683,3.242935,-0.213055,False
7,955,219000000,74,2.355622,-0.639025,-2.267289,3.309232,-0.212804,False
7,955,219000000,75,2.411104,-0.613382,-2.331777,3.378631,-0.212543,False
7,955,219000000,76,2.470038,-0.586494,-2.399398,3.451401,-0.212268,False
7,955,219000000,77,2.532719,-0.558249,-2.470429,3.527841,-0.211980,False
7,955,219000000,78,2.599480,-0.528525,-2.545183,3.608287,-0.211676,False
7,955,219000000,79,2.670695,-0.497181,-2.624009,3.693116,-0.211356,False
7,955,219000000,80,2.746787,-0.464061,-2.707302,3.782752,-0.211018,False
7,955,219000000,81,2.828232,-0.428987,-2.795509,3.877675,-0.210660,False
7,955,219000000,82,2.915575,-0.391758,-2.889135,3.978431,-0.210280,False
7,955,219000000,83,3.009434,-0.352143,-2.988760,4.085642,-0.209876,False
7,955,219000000,84,3.110520,-0.309880,-3.095046,4.200022,-0.209444,False
7,955,219000000,85,3.219654,-0.264665,-3.208757,4.322392,-0.208983,False
7,955,219000000,86,3.337782,-0.216146,-3.330776,4.453702,-0.208487,False
7,955,219000000,87,3.466009,-0.163915,-3.462131,4.595060,-0.207954,False
7,955,219000000,88,3.605630,-0.107492,-3.604027,4.747761,-0.207378,False
7,955,219000000,89,3.758169,-0.046313,-3.757884,4.913334,-0.206754,False
7,955,219000000,90,3.925440,0.020292,-3.925388,5.093593,-0.206074,False
7,955,219000000,91,4.109611,0.093126,-4.108555,5.290709,-0.205330,False
7,955,219000000,92,4.313298,0.173156,-4.309821,5.507300,-0.204513,False
7,955,219000000,93,4.539690,0.261562,-4.532149,5.746559,-0.203610,False
7,955,219000000,94,4.792713,0.359793,-4.779189,6.012411,-0.202608,False
7,955,219000000,95,4.992596,0.461826,-4.971190,6.228433,-0.177924,False
7,955,219000000,96,4.967818,0.545989,-4.937724,6.228091,-0.087352,False
7,955,219000000,97,4.944791,0.629346,-4.904577,6.227752,0.002353,False
7,955,219000000,98,4.923476,0.711959,-4.871727,6.227417,0.091257,False
7,955,219000000,99,4.903838,0.793888,-4.839149,6.227084,0.179425,False
7,955,219000000,100,4.885845,0.875190,-4.806820,6.226753,0.266919,False
7,955,219000000,101,4.869468,0.955923,-4.774718,6.226426,0.353799,False
7,955,219000000,102,4.854681,1.036141,-4.742820,6.226100,0.440126,False
7,955,219000000,103,4.841461,1.115897,-4.711106,6.225776,0.525956,False
7,955,219000000,104,4.829786,1.195245,-4.679554,6.225453,0.611346,False
7,955,219000000,105,4.819639,1.274235,-4.648145,6.225132,0.696351,False
7,955,219000000,106,4.811004,1.352917,-4.616857,6.224812,0.781025,False
7,955,219000000,107,4.803867,1.431343,-4.585673,6.224494,0.865422,False
7,955,219000000,108,4.798217,1.509559,-4.554571,6.224176,0.949595,False
7,955,219000000,109,4.794045,1.587616,-4.523532,6.223858,1.033596,False
7,955,219000000,110,4.791346,1.665561,-4.492538,6.223542,1.117476,False
7,955,219000000,111,4.790114,1.743442,-4.461570,6.223226,1.201288,False
7,955,219000000,112,4.790349,1.821307,-4.430608,6.222909,1.285083,False
7,955,219000000,113,4.792050,1.899203,-4.399633,6.222592,1.368911,False
7,955,219000000,114,4.795220,1.977179,-4.368627,6.222276,1.452824,False
7,955,219000000,115,4.799864,2.055282,-4.337570,6.221958,1.536875,False
7,955,219000000,116,4.805990,2.133560,-4.306444,6.221640,1.621114,False
7,955,219000000,117,4.813605,2.212062,-4.275228,6.221321,1.705594,False
7,955,219000000,118,4.822723,2.290838,-4.243904,6.221001,1.790368,False
7,955,219000000,119,4.833357,2.369936,-4.212451,6.220680,1.875490,False
7,955,219000000,120,4.845525,2.449409,-4.180850,6.220357,1.961015,False
7,955,219000000,121,4.859244,2.529308,-4.149079,6.220032,2.046998,False
7,955,219000000,122,4.874537,2.609684,-4.117118,6.219706,2.133495,False
7,955,219000000,123,4.891428,2.690594,-4.084945,6.219377,2.220566,False
7,955,219000000,124,4.909945,2.772091,-4.052539,6.219046,2.308269,False
7,955,219000000,125,4.930117,2.854232,-4.019877,6.218712,2.396666,False
7,955,219000000,126,4.951976,2.937077,-3.986934,6.218375,2.485819,False
7,955,219000000,127,4.975559,3.020685,-3.953688,6.218036,2.575794,False
7,955,219000000,128,5.000906,3.105119,-3.920114,6.217692,2.666658,False
7,955,219000000,129,5.028059,3.190444,-3.886185,6.217346,2.758481,False
7,955,219000000,130,5.057064,3.276728,-3.851876,6.216995,2.851335,False
7,955,219000000,131,5.087971,3.364039,-3.817157,6.216640,2.945295,False
7,955,219000000,132,5.120836,3.452452,-3.782001,6.216281,3.040440,False
7,955,219000000,133,5.155715,3.542042,-3.746377,6.215917,3.136852,False
7,955,219000000,134,5.192673,3.632889,-3.710253,6.215548,3.234617,False
