frame_index,stamp_sec,stamp_nsec,base_link_x,base_link_y,base_link_yaw,base_link_op_x,base_link_op_y,base_link_op_yaw
10,11286,727000000,-3.537136,-3.308841,-1.581597,-3.827885,5.512659,-2.324949
11,11286,826000000,-3.538215,-3.410009,-1.581641,-3.894284,5.437157,-2.275084
12,11286,926000000,-3.539390,-3.519202,-1.581512,-3.920296,5.372274,-2.226474
13,11287,26000000,-3.540607,-3.632419,-1.581596,-3.977002,5.293315,-2.176756
14,11287,127000000,-3.541853,-3.747106,-1.581712,-4.029763,5.209319,-2.120111
15,11287,227000000,-3.543106,-3.861698,-1.580637,-4.079353,5.122018,-2.080917
16,11287,326000000,-3.544170,-3.975294,-1.580156,-4.135342,5.030334,-2.045371
17,11287,426000000,-3.545222,-4.087429,-1.580239,-4.179147,4.938849,-2.015964
18,11287,527000000,-3.546266,-4.197892,-1.580275,-4.219598,4.845721,-1.977060
19,11287,626000000,-3.547301,-4.306694,-1.580341,-4.257057,4.751375,-1.945704
20,11287,727000000,-3.548329,-4.413935,-1.580426,-4.283649,4.645026,-1.915264
21,11287,827000000,-3.549352,-4.519763,-1.580465,-4.315807,4.549000,-1.897669
22,11287,927000000,-3.542948,-4.617392,-1.576764,-4.346242,4.452589,-1.874529
23,11288,27000000,-3.543572,-4.720910,-1.576848,-4.374078,4.355553,-1.851035
24,11288,126000000,-3.544198,-4.823522,-1.576885,-4.389414,4.245975,-1.827636
25,11288,226000000,-3.544824,-4.925381,-1.576921,-4.413242,4.148172,-1.815241
26,11288,326000000,-3.557071,-5.015302,-1.583585,-4.436767,4.050430,-1.813247
27,11288,427000000,-3.558360,-5.116036,-1.583584,-4.449493,3.956777,-1.805777
28,11288,526000000,-3.559644,-5.216316,-1.583588,-4.472066,3.859021,-1.796686
29,11288,626000000,-3.548398,-5.312669,-1.579716,-4.493345,3.761048,-1.783703
30,11288,727000000,-3.549288,-5.412435,-1.579714,-4.501117,3.658745,-1.771578
31,11288,827000000,-3.538941,-5.513182,-1.576778,-4.519645,3.560320,-1.755904
32,11288,926000000,-3.539537,-5.612638,-1.576777,-4.537106,3.461740,-1.744599
33,11289,26000000,-3.540131,-5.711998,-1.576777,-4.565761,3.369894,-1.738211
34,11289,127000000,-3.548417,-5.793370,-1.580010,-4.581341,3.271054,-1.721951
35,11289,226000000,-3.549431,-5.903394,-1.580011,-4.595576,3.161882,-1.691030
36,11289,327000000,-3.550344,-6.002518,-1.580010,-4.601448,3.064638,-1.668380
37,11289,427000000,-3.543972,-6.081705,-1.574883,-4.609255,2.964899,-1.652589
38,11289,527000000,-3.544204,-6.180877,-1.557969,-4.616131,2.865104,-1.642984
39,11289,627000000,-3.537464,-6.279818,-1.432122,-4.632774,2.764556,-1.642145
40,11289,726000000,-3.513097,-6.376427,-1.320295,-4.638807,2.664731,-1.628449
41,11289,826000000,-3.475270,-6.437435,-1.318471,-4.642860,2.564806,-1.609729
42,11289,926000000,-3.447934,-6.533220,-1.318471,-4.655871,2.461801,-1.597406
