frame_index,stamp_sec,stamp_nsec,global_x,global_y,yaw
9,11286,626000000,-3.672903,5.667963,-2.370743
10,11286,727000000,-3.745725,5.600121,-2.324949
11,11286,826000000,-3.816585,5.528605,-2.275084
12,11286,926000000,-3.847133,5.467390,-2.226474
13,11287,26000000,-3.908655,5.391950,-2.176756
14,11287,127000000,-3.967111,5.311665,-2.120111
15,11287,227000000,-4.020759,5.226740,-2.080917
16,11287,326000000,-4.080507,5.137072,-2.045371
17,11287,426000000,-4.127474,5.047154,-2.015964
18,11287,527000000,-4.172176,4.955954,-1.977060
19,11287,626000000,-4.213114,4.863040,-1.945704
20,11287,727000000,-4.243126,4.757976,-1.915264
21,11287,827000000,-4.277277,4.662646,-1.897669
22,11287,927000000,-4.310352,4.567096,-1.874529
23,11288,27000000,-4.340888,4.470871,-1.851035
24,11288,126000000,-4.358931,4.362039,-1.827636
25,11288,226000000,-4.384200,4.264605,-1.815241
26,11288,326000000,-4.407957,4.166921,-1.813247
27,11288,427000000,-4.421554,4.073479,-1.805777
28,11288,526000000,-4.445190,3.975972,-1.796686
29,11288,626000000,-4.467988,3.878339,-1.783703
30,11288,727000000,-4.477185,3.776334,-1.771578
31,11288,827000000,-4.497558,3.678270,-1.755904
32,11288,926000000,-4.516355,3.579932,-1.744599
33,11289,26000000,-4.545765,3.488216,-1.738211
34,11289,127000000,-4.563271,3.389685,-1.721951
35,11289,226000000,-4.581183,3.281015,-1.691030
36,11289,327000000,-4.589756,3.184067,-1.668380
37,11289,427000000,-4.599451,3.084497,-1.652589
38,11289,527000000,-4.607476,2.984792,-1.642984
39,11289,627000000,-4.624219,2.884251,-1.642145
40,11289,726000000,-4.631892,2.784532,-1.628449
41,11289,826000000,-4.638189,2.684715,-1.609729
42,11289,926000000,-4.652678,2.581759,-1.597406
43,11290,26000000,-4.655428,2.481791,-1.584974
44,11290,126000000,-4.656910,2.381799,-1.573930
45,11290,227000000,-4.672266,2.294017,-1.576202
46,11290,327000000,-4.673101,2.194024,-1.566317
47,11290,427000000,-4.673008,2.094026,-1.552467
48,11290,526000000,-4.675580,2.000346,-1.548198
49,11290,626000000,-4.673027,1.900388,-1.544519
50,11290,727000000,-4.670022,1.800445,-1.542947
51,11290,826000000,-4.657490,1.694365,-1.539208
52,11290,926000000,-4.653534,1.594456,-1.545248
53,11291,27000000,-4.650243,1.494523,-1.555062
54,11291,127000000,-4.647703,1.404414,-1.558718
55,11291,226000000,-4.646377,1.304441,-1.563084
56,11291,326000000,-4.645572,1.204462,-1.566193
57,11291,426000000,-4.630620,1.105876,-1.559478
58,11291,527000000,-4.628931,1.005902,-1.566774
59,11291,626000000,-4.627894,0.905914,-1.579364
60,11291,727000000,-4.624100,0.814508,-1.582987
61,11291,827000000,-4.625337,0.714524,-1.587802
62,11291,927000000,-4.627139,0.614549,-1.591350
63,11292,26000000,-4.643669,0.520780,-1.600622
64,11292,126000000,-4.647520,0.420858,-1.594231
65,11292,226000000,-4.650765,0.320910,-1.582013
66,11292,327000000,-4.663243,0.209385,-1.581349
67,11292,427000000,-4.664604,0.109400,-1.575345
68,11292,526000000,-4.665264,0.009407,-1.568670
69,11292,627000000,-4.662366,-0.088660,-1.565711
70,11292,727000000,-4.661444,-0.188651,-1.567418
71,11292,827000000,-4.660697,-0.288644,-1.571444
72,11292,926000000,-4.664852,-0.376870,-1.573106
73,11293,26000000,-4.665070,-0.476864,-1.574119
74,11293,127000000,-4.665498,-0.576857,-1.573198
75,11293,227000000,-4.674217,-0.670376,-1.575026
76,11293,327000000,-4.674959,-0.770369,-1.571552
77,11293,426000000,-4.675369,-0.870365,-1.565803
78,11293,527000000,-4.661657,-0.956429,-1.555249
79,11293,627000000,-4.659499,-1.056404,-1.559202
80,11293,726000000,-4.657606,-1.156389,-1.569208
81,11293,826000000,-4.645910,-1.249998,-1.566295
82,11293,926000000,-4.645161,-1.349994,-1.571817
83,11294,26000000,-4.644986,-1.449995,-1.578764
84,11294,126000000,-4.657529,-1.533418,-1.588818
85,11294,227000000,-4.660266,-1.633388,-1.580759
86,11294,326000000,-4.662400,-1.733380,-1.565522
87,11294,427000000,-4.674789,-1.829067,-1.562945
88,11294,526000000,-4.674440,-1.929065,-1.552321
89,11294,626000000,-4.672904,-2.029060,-1.540921
90,11294,726000000,-4.673741,-2.109849,-1.532595
91,11294,826000000,-4.669643,-2.209770,-1.530700
92,11294,926000000,-4.665486,-2.309689,-1.530532
93,11295,26000000,-4.654250,-2.412974,-1.529262
94,11295,126000000,-4.649813,-2.512878,-1.531199
95,11295,227000000,-4.645609,-2.612792,-1.534014
96,11295,326000000,-4.640676,-2.706262,-1.534233
97,11295,426000000,-4.637066,-2.806197,-1.533492
98,11295,527000000,-4.633458,-2.906131,-1.532018
99,11295,626000000,-4.622019,-2.995532,-1.521982
100,11295,726000000,-4.616786,-3.095395,-1.524768
101,11295,827000000,-4.611713,-3.195269,-1.531655
102,11295,927000000,-4.603344,-3.296936,-1.530027
103,11296,26000000,-4.599182,-3.396849,-1.532068
104,11296,126000000,-4.595342,-3.496775,-1.533589
105,11296,226000000,-4.602006,-3.594983,-1.539237
106,11296,326000000,-4.599594,-3.694959,-1.531924
107,11296,426000000,-4.596324,-3.794912,-1.521892
108,11296,527000000,-4.593126,-3.892683,-1.520144
109,11296,626000000,-4.587607,-4.002547,-1.516342
110,11296,727000000,-4.582667,-4.092412,-1.514324
111,11296,826000000,-4.579170,-4.191393,-1.513770
112,11296,926000000,-4.573426,-4.291229,-1.512858
113,11297,26000000,-4.567600,-4.391059,-1.511829
114,11297,127000000,-4.553624,-4.486920,-1.505419
115,11297,226000000,-4.546609,-4.586676,-1.509593
116,11297,327000000,-4.539438,-4.696446,-1.516674
117,11297,426000000,-4.533322,-4.798340,-1.518547
118,11297,527000000,-4.528286,-4.898213,-1.517922
119,11297,626000000,-4.523154,-4.998082,-1.516646
120,11297,726000000,-4.525817,-5.097748,-1.520947
121,11297,826000000,-4.521471,-5.197659,-1.513194
122,11297,926000000,-4.516224,-5.297527,-1.504099
123,11298,26000000,-4.502610,-5.385352,-1.493884
124,11298,127000000,-4.494251,-5.485007,-1.498305
125,11298,227000000,-4.486782,-5.584729,-1.501416
126,11298,327000000,-4.478120,-5.686274,-1.488030
127,11298,426000000,-4.470159,-5.785961,-1.479505
128,11298,526000000,-4.462489,-5.885699,-1.460316
129,11298,627000000,-4.453150,-5.986424,-1.442052
130,11298,726000000,-4.442625,-6.085972,-1.407552
131,11298,826000000,-4.431168,-6.185749,-1.330646
132,11298,927000000,-4.421229,-6.268807,-1.274365
133,11299,27000000,-4.397068,-6.362075,-1.200959
134,11299,126000000,-4.397068,-6.362075,-1.200959
135,11299,226000000,-4.371589,-6.438924,-1.143366
136,11299,327000000,-4.335471,-6.527074,-1.073593
137,11299,426000000,-4.301197,-6.589694,-1.024890
138,11299,526000000,-4.253556,-6.671041,-0.960177
139,11299,626000000,-4.212587,-6.729969,-0.909681
140,11299,727000000,-4.156385,-6.807489,-0.846756
141,11299,827000000,-4.093193,-6.872908,-0.801628
142,11299,926000000,-4.038477,-6.936157,-0.747112
143,11300,26000000,-3.966325,-7.003905,-0.707082
144,11300,126000000,-3.890574,-7.070301,-0.668494
145,11300,226000000,-3.800624,-7.128556,-0.632805
146,11300,326000000,-3.718925,-7.189888,-0.597839
147,11300,427000000,-3.634274,-7.247275,-0.572720
148,11300,527000000,-3.548829,-7.303418,-0.544546
149,11300,627000000,-3.465321,-7.352488,-0.521365
150,11300,727000000,-3.377581,-7.404276,-0.490901
151,11300,826000000,-3.288911,-7.454130,-0.445442
152,11300,926000000,-3.197491,-7.498095,-0.414655
153,11301,26000000,-3.123810,-7.548806,-0.407470
154,11301,126000000,-3.030868,-7.588367,-0.392976
155,11301,227000000,-2.938289,-7.628434,-0.362913
156,11301,327000000,-2.830560,-7.660549,-0.319890
157,11301,427000000,-2.735262,-7.692770,-0.292742
158,11301,526000000,-2.638764,-7.720738,-0.283645
159,11301,626000000,-2.556843,-7.737271,-0.279759
160,11301,726000000,-2.460357,-7.764551,-0.273773
161,11301,826000000,-2.363989,-7.791996,-0.261441
162,11301,926000000,-2.255799,-7.813555,-0.253762
163,11302,26000000,-2.159051,-7.839281,-0.239008
164,11302,127000000,-2.061809,-7.862896,-0.229202
165,11302,226000000,-1.953746,-7.887856,-0.213832
166,11302,326000000,-1.856004,-7.909101,-0.204053
167,11302,427000000,-1.758137,-7.929700,-0.192916
168,11302,526000000,-1.648467,-7.948726,-0.183838
169,11302,626000000,-1.550237,-7.967399,-0.173030
170,11302,726000000,-1.451733,-7.984517,-0.166069
171,11302,827000000,-1.348674,-8.004784,-0.160582
172,11302,926000000,-1.249990,-8.020789,-0.153397
173,11303,26000000,-1.151286,-8.036699,-0.140925
174,11303,127000000,-1.054012,-8.053432,-0.133773
175,11303,226000000,-0.954974,-8.067097,-0.123537
176,11303,326000000,-0.855784,-8.079602,-0.114191
177,11303,426000000,-0.758419,-8.092665,-0.096935
178,11303,526000000,-0.658910,-8.102310,-0.089848
179,11303,626000000,-0.559332,-8.111215,-0.085020
180,11303,727000000,-0.474089,-8.119043,-0.088944
181,11303,826000000,-0.374528,-8.128130,-0.083227
182,11303,927000000,-0.264938,-8.137624,-0.073817
183,11304,26000000,-0.157506,-8.148512,-0.064296
184,11304,126000000,-0.057732,-8.154915,-0.057886
185,11304,226000000,0.042060,-8.161103,-0.047854
186,11304,326000000,0.142952,-8.158458,-0.035105
187,11304,426000000,0.242870,-8.162154,-0.027466
188,11304,527000000,0.342835,-8.164252,-0.029117
189,11304,626000000,0.455344,-8.165334,-0.025317
190,11304,727000000,0.555296,-8.167833,-0.022505
191,11304,826000000,0.655250,-8.170413,-0.015975
192,11304,926000000,0.769966,-8.168248,-0.006166
193,11305,26000000,0.869951,-8.169323,0.002419
194,11305,126000000,0.969944,-8.169452,0.011643
195,11305,227000000,1.064464,-8.179507,0.008952
196,11305,326000000,1.164459,-8.179081,0.018327
197,11305,427000000,1.264459,-8.178002,0.032959
198,11305,527000000,1.375529,-8.148829,0.062908
199,11305,626000000,1.475321,-8.142325,0.069419
200,11305,726000000,1.574990,-8.133993,0.059439
201,11305,826000000,1.671646,-8.123508,0.050616
202,11305,926000000,1.771514,-8.119189,0.058152
203,11306,27000000,1.871372,-8.113647,0.064404
204,11306,127000000,1.973746,-8.098225,0.087093
205,11306,226000000,2.073403,-8.089843,0.097744
